happy,afraid,sad,depressed,angry,surprised,exited,hurt
'You seem to be happy',,'Don't feel troubled','Don't be disheartened',,,'You seem to be anxious',
'You seem to be in a good mood',,'Don't feel despondent','Don't be distractable',,,'You seem to be motivated',
'You seem to be in good spirits',,'Don't feel dismal','Don't be distraught',,,,
'You're in seventh heaven',,'Don't feel joyless','Don't be distressed',,,,
'You seem to be invigorated',,'Don't feel melancholy','Don't be doomed',,,,
'You seem to be jocular',,'You are bathed in tears','Don't be dreadful',,,,
'You seem to be jolly',,'Don't feel foreboding','Don't be dreary',,,,
'You seem to be jovial',,'Don't feel doleful','Don't be edgy',,,,
'You seem to be joyful',,'Don't feel moody','Don't be emotional',,,,
'You seem to be joyous',,'Don't feel worried','Don't be empty',,,,
'You seem to be jubilant',,'Don't feel careworn','Don't be excluded from the society',,,,
'You seem to be lighthearted',,'Don't feel heartsick','Don't be exhausted',,,,
'You seem to be merry',,'Don't feel grieving','Don't be exposed',,,,
'You seem to be mirthful',,'Don't feel tragic','Don't be fatalistic',,,,
'You are never been better',,'Don't feel dejected','Don't be forlorn',,,,
'You seem to be on cloud nine',,'Don't feel woeful','Don't be fragile',,,,
'You seem to be on top of the world',,'Don't feel mournful','Stop freaking',,,,
'You seem to be optimistic',,'Don't feel saturnine','Don't be gloomy',,,,
'You seem to be over-the-moon',,'You are very touching','Don't be grouchy',,,,
'You seem to be overjoyed',,'Don't feel pathetic','Don't feel helpless',,,,
'You seem to be pleased',,'Don't feel despairing','Don't be hopeless',,,,
'You seem to be radiant',,'Don't feel dolorous','Don't be hurt',,,,
'You seem to be rapturous',,'Don't feel disheartening','Don't be inadequate',,,,
'You seem to be satisfied',,'Don't feel discouraging','Don't be inconsolable',,,,
'You seem to be smiling',,'Don't feel lachrymose','Don't be injured',,,,
'You seem to be sunny',,,'Don't be insecure',,,,
'You seem to be thrilled',,,'Don't be irrational',,,,
'You seem to be tickled pink',,,'Don't be isolated',,,,
'You seem to be untroubled',,,'Don't be lonely',,,,
'You seem to be upbeat',,,'Don't be lousy',,,,
'You seem to be walking on air',,,'Don't be low',,,,
,,,'Don't be melancholy',,,,
,,,'Don't be miserable',,,,
,,,'Don't be moody',,,,
,,,'Don't be morbid',,,,
,,,'Don't be needy',,,,
,,,'Don't be nervous',,,,
,,,'Don't be nightmarish',,,,
,,,'Don't be oppressed',,,,
,,,'Don't be pain',,,,
,,,'Don't be paranoid',,,,
,,,'Don't be pessimistic',,,,
,,,'Don't be reckless',,,,
,,,'Don't be rejected',,,,
,,,'Don't be resigned',,,,
,,,'Don't be sadness',,,,
,,,'Don't be conscious',,,,
,,,'Don't be self-disgust',,,,
,,,'Don't be shattered',,,,
,,,'Don't be sobbing',,,,
,,,'Don't be sorrowful',,,,
,,,'Don't be suffering',,,,
,,,'Don't be suicidal',,,,
,,,'Don't be tearful',,,,
,,,'Don't be touchy',,,,
,,,'Don't be trapped',,,,
,,,'Don't be uneasy',,,,
,,,'Don't be unhappy',,,,
,,,'Don't be unhinged',,,,
,,,'Don't be unpredictable',,,,
,,,'Don't be upset',,,,
,,,'Don't be vulnerable',,,,
,,,'Don't be wailing',,,,
,,,'Don't be weak',,,,
,,,'Don't be weepy',,,,
,,,'Don't be withdrawn',,,,
,,,'Don't be woeful',,,,
,,,'Don't be wounded',,,,
,,,'Don't be wretched',,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
